Anteil Landwirtschaftsfläche an Gebietsfläche (2013)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,9 ;03/2012
2;09;Bayern;50,9 ;03/2013
3;11;Berlin;3,9 ;01/2012
4;12;Brandenburg;47,8 ;11/2011
5;04;Bremen;27,1 ;06/2012
6;02;Hamburg;23,4 ;07/2012
7;06;Hessen;43,9 ;09/2009
8;13;Mecklenburg-Vorpommern;62,2 ;04/2010
9;03;Niedersachsen;60,6 ;04/2010
10;05;Nordrhein-Westfalen;49,5 ;03/2012
11;07;Rheinland-Pfalz;43,3 ;03/2012
12;10;Saarland;37,1 ;01/2012
13;14;Sachsen;52,7 ;05/2011
14;15;Sachsen-Anhalt;62,9 ;07/2012
15;01;Schleswig-Holstein;69,5 ;10/2011
16;16;Thüringen;54,9 ;03/2012
;;Deutschland;52,7 ;10/2011
