Anteil Landwirtschaftsfläche an Gebietsfläche (2012)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;46,1 ;05/2011
2;09;Bayern;51,1 ;12/2011
3;11;Berlin;4,0 ;08/2011
4;12;Brandenburg;49,1 ;03/2010
5;04;Bremen;28,3 ;01/2011
6;02;Hamburg;23,4 ;07/2011
7;06;Hessen;44,0 ;09/2009
8;13;Mecklenburg-Vorpommern;64,5 ;02/2010
9;03;Niedersachsen;60,7 ;07/2009
10;05;Nordrhein-Westfalen;49,7 ;01/2011
11;07;Rheinland-Pfalz;43,5 ;07/2010
12;10;Saarland;39,9 ;01/2010
13;14;Sachsen;53,9 ;09/2010
14;15;Sachsen-Anhalt;63,3 ;02/2011
15;01;Schleswig-Holstein;69,5 ;09/2010
16;16;Thüringen;55,0 ;03/2012
;;Deutschland;53,2 ;11/2010
