Anteil Landwirtschaftsfläche an Gebietsfläche (2014)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,8 ;05/2013
2;09;Bayern;50,7 ;03/2013
3;11;Berlin;3,8 ;09/2013
4;12;Brandenburg;47,7 ;04/2013
5;04;Bremen;27,0 ;06/2012
6;02;Hamburg;23,5 ;06/2013
7;06;Hessen;43,8 ;12/2009
8;13;Mecklenburg-Vorpommern;62,4 ;12/2010
9;03;Niedersachsen;60,4 ;08/2011
10;05;Nordrhein-Westfalen;49,4 ;02/2013
11;07;Rheinland-Pfalz;43,1 ;03/2013
12;10;Saarland;36,5 ;05/2012
13;14;Sachsen;52,5 ;01/2012
14;15;Sachsen-Anhalt;62,6 ;07/2013
15;01;Schleswig-Holstein;69,3 ;06/2012
16;16;Thüringen;54,8 ;07/2012
;;Deutschland;52,6 ;07/2012
