Anteil Landwirtschaftsfläche an Gebietsfläche (2011)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;46,0 ;08/2010
2;09;Bayern;51,2 ;05/2011
3;11;Berlin;4,3 ;10/2009
4;12;Brandenburg;49,1 ;07/2009
5;04;Bremen;29,9 ;02/2009
6;02;Hamburg;23,3 ;06/2010
7;06;Hessen;44,0 ;09/2009
8;13;Mecklenburg-Vorpommern;64,7 ;05/2009
9;03;Niedersachsen;60,8 ;12/2008
10;05;Nordrhein-Westfalen;49,9 ;12/2009
11;07;Rheinland-Pfalz;43,7 ;08/2009
12;10;Saarland;40,1 ;06/2008
13;14;Sachsen;54,2 ;06/2009
14;15;Sachsen-Anhalt;63,8 ;02/2010
15;01;Schleswig-Holstein;69,8 ;10/2008
16;16;Thüringen;55,1 ;03/2009
;;Deutschland;53,3 ;12/2009
