Anteil Landwirtschaftsfläche an Gebietsfläche (2022)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;44,8 ;04/2021
2;09;Bayern;49,2 ;01/2022
3;11;Berlin;3,5 ;08/2021
4;12;Brandenburg;47,4 ;02/2021
5;04;Bremen;26,3 ;12/2019
6;02;Hamburg;23,2 ;09/2021
7;06;Hessen;42,5 ;03/2020
8;13;Mecklenburg-Vorpommern;62,6 ;04/2021
9;03;Niedersachsen;59,6 ;08/2020
10;05;Nordrhein-Westfalen;48,6 ;09/2020
11;07;Rheinland-Pfalz;41,9 ;04/2021
12;10;Saarland;35,6 ;12/2020
13;14;Sachsen;51,6 ;10/2020
14;15;Sachsen-Anhalt;61,7 ;04/2021
15;01;Schleswig-Holstein;68,3 ;05/2021
16;16;Thüringen;53,6 ;10/2021
;;Deutschland;51,6 ;03/2021
