Anteil Landwirtschaftsfläche an Gebietsfläche (2015)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,7 ;11/2013
2;09;Bayern;50,7 ;10/2014
3;11;Berlin;3,7 ;04/2015
4;12;Brandenburg;47,6 ;04/2014
5;04;Bremen;27,0 ;06/2012
6;02;Hamburg;23,7 ;09/2014
7;06;Hessen;43,5 ;03/2011
8;13;Mecklenburg-Vorpommern;62,6 ;12/2011
9;03;Niedersachsen;60,3 ;01/2013
10;05;Nordrhein-Westfalen;49,3 ;01/2014
11;07;Rheinland-Pfalz;42,8 ;12/2013
12;10;Saarland;35,8 ;06/2013
13;14;Sachsen;52,4 ;10/2012
14;15;Sachsen-Anhalt;62,4 ;04/2014
15;01;Schleswig-Holstein;69,2 ;05/2013
16;16;Thüringen;54,6 ;06/2013
;;Deutschland;52,4 ;08/2013
